Fecha;ID;NOME;CASOS_14_DIAS;NIVEL_14_DIAS
;34123232059;PEROXA A;0;Incidencia acumulada para o concello: <=25
;34123232060;PETIN; entre 1 e 9;Incidencia acumulada para o concello: >250 e <=500
;34123232061;PIÑOR;0;Incidencia acumulada para o concello: <=25
;34123232062;PORQUEIRA;0;Incidencia acumulada para o concello: <=25
;34123232063;POBRA DE TRIVES A;0;Incidencia acumulada para o concello: <=25
;34123232064;PONTEDEVA;0;Incidencia acumulada para o concello: <=25
;34123232065;PUNXIN;0;Incidencia acumulada para o concello: <=25
;34123232066;QUINTELA DE LEIRADO;0;Incidencia acumulada para o concello: <=25
;34123232067;RAIRIZ DE VEIGA;0;Incidencia acumulada para o concello: <=25
;34123232068;RAMIRAS;0;Incidencia acumulada para o concello: <=25
;34123232069;RIBADAVIA; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123232070;SAN XOAN DE RIO;0;Incidencia acumulada para o concello: <=25
;34123232071;RIOS; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123232072;RUA (A); entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50
;34123232073;RUBIA; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123232074;SAN AMARO;0;Incidencia acumulada para o concello: <=25
;34123232075;SAN CIBRAO DAS VIÑAS;0;Incidencia acumulada para o concello: <=25
;34123232076;SAN CRISTOVO DE CEA;0;Incidencia acumulada para o concello: <=25
;34123232077;SANDIAS; entre 1 e 9;Incidencia acumulada para o concello: >250 e <=500
;34123232078;SARREAUS;0;Incidencia acumulada para o concello: <=25
;34123232079;TABOADELA;0;Incidencia acumulada para o concello: <=25
;34123232080;TEIXEIRA A;0;Incidencia acumulada para o concello: <=25
;34123232081;TOEN; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123232082;TRASMIRAS;0;Incidencia acumulada para o concello: <=25
;34123232083;VEIGA (A);0;Incidencia acumulada para o concello: <=25
